timestamp,x,y,frame_no,frame_count,confidence,detection_method,camera
15500.0,57,403,931,931,0.7567336559295654,YOLO,2
15516.666666666666,110,409,932,932,0.8281416893005371,YOLO,2
15533.333333333334,162,416,933,933,0.7850005030632019,YOLO,2
15549.999999999998,1803,407,934,934,0.8137478828430176,YOLO,1
15549.999999999998,210,422,934,934,0.834425151348114,YOLO,2
15566.666666666666,1749,415,935,935,0.8137804269790649,YOLO,1
15566.666666666666,255,428,935,935,0.8181137442588806,YOLO,2
15583.333333333334,1091,539,936,936,0.7964953919549048,BG,1
15583.333333333334,297,435,936,936,0.5949259400367737,YOLO,2
15600.0,1648,432,937,937,0.8564746975898743,YOLO,1
15600.0,297,435,937,937,0.4,LK,2
15616.666666666668,332,441,938,938,0.6251822870788951,BG,2
15616.666666666668,1647,431,938,938,0.4,LK,1
15633.333333333332,414,455,939,939,0.8096304535865784,YOLO,2
15633.333333333332,1556,450,939,939,0.7640290260314941,YOLO,1
15650.0,413,455,940,940,0.4,LK,2
15650.0,1544,449,940,940,0.7798381254407766,BG,1
15666.666666666666,413,455,941,941,0.3,LK,2
15666.666666666666,1522,455,941,941,0.6014486279219953,BG,1
15683.333333333334,514,476,942,942,0.79883873462677,YOLO,2
15683.333333333334,1470,463,942,942,0.5821330594622987,BG,1
15700.0,543,483,943,943,0.7777970433235168,YOLO,2
15700.0,1400,484,943,943,0.8338354229927063,YOLO,1
15716.666666666666,543,483,944,944,0.4,LK,2
15716.666666666666,1391,484,944,944,0.8458348514740116,BG,1
15733.333333333332,1331,502,945,945,0.8617282509803772,YOLO,1
15733.333333333332,543,483,945,945,0.3,LK,2
15750.0,650,499,946,946,0.8061450660379307,BG,2
15750.0,1333,502,946,946,0.7295633056601964,BG,1
15766.666666666666,1268,520,947,947,0.8021323680877686,YOLO,1
15766.666666666666,649,498,947,947,0.4,LK,2
15783.333333333334,1238,526,948,948,0.5142535774535534,BG,1
15783.333333333334,677,517,948,948,0.6269475859030686,BG,2
15799.999999999998,676,516,949,949,0.4,LK,2
15799.999999999998,1238,531,949,949,0.4,LK,1
15816.666666666666,676,516,950,950,0.3,LK,2
15816.666666666666,1238,531,950,950,0.3,LK,1
15833.333333333334,676,516,951,951,0.2,LK,2
15833.333333333334,1157,555,951,951,0.6393043994903564,YOLO,1
15850.0,761,547,952,952,0.5367460329653373,BG,2
15850.0,1131,564,952,952,0.8264473676681519,YOLO,1
15866.666666666668,783,555,953,953,0.7575655579566956,YOLO,2
15866.666666666668,1107,574,953,953,0.6556553840637207,YOLO,1
15883.333333333332,1083,582,954,954,0.6711515669304658,BG,1
15883.333333333332,783,554,954,954,0.4,LK,2
15900.0,744,536,955,955,0.534516461231188,BG,2
15900.0,1061,590,955,955,0.6439302012665772,BG,1
15916.666666666666,836,577,956,956,0.675174195411533,BG,2
15916.666666666666,1039,601,956,956,0.8301331400871277,YOLO,1
15933.333333333334,1039,600,957,957,0.4,LK,1
15933.333333333334,853,584,957,957,0.6710150573647035,BG,2
15950.0,998,618,958,958,0.7166670004327368,BG,1
15950.0,869,591,958,958,0.4,LK,2
15966.666666666666,979,626,959,959,0.6144737849879819,BG,1
15966.666666666666,859,591,959,959,0.3,LK,2
15983.333333333332,901,607,960,960,0.6977353113971827,BG,2
15983.333333333332,978,626,960,960,0.4,LK,1
16000.0,916,614,961,961,0.7009449888926252,BG,2
16000.0,942,645,961,961,0.6126790421850068,BG,1
16016.666666666666,937,646,962,962,0.4,LK,1
16016.666666666666,930,621,962,962,0.6877535922269661,BG,2
16033.333333333332,920,650,963,963,0.3,LK,1
16033.333333333332,943,629,963,963,0.6981495213799727,BG,2
16050.0,956,631,964,964,0.5989023329956343,BG,2
16050.0,920,650,964,964,0.2,LK,1
16066.666666666666,964,622,965,965,0.7706654637255596,BG,2
16066.666666666666,879,669,965,965,0.6777771711349487,YOLO,1
16083.333333333332,972,613,966,966,0.7295632915917724,BG,2
16083.333333333332,870,667,966,966,0.4,LK,1
16100.000000000002,980,605,967,967,0.7491195616706107,BG,2
16100.000000000002,869,667,967,967,0.3,LK,1
16116.666666666668,848,640,968,968,0.5605725679985739,BG,1
16116.666666666668,988,598,968,968,0.7599925760865994,BG,2
16133.333333333332,845,532,969,969,0.7689394011682371,BG,2
16133.333333333332,837,631,969,969,0.6830312898146628,BG,1
16149.999999999998,827,624,970,970,0.7295633056601964,BG,1
16149.999999999998,1004,584,970,970,0.661957711705853,BG,2
16166.666666666668,818,616,971,971,0.6830312961867525,BG,1
16166.666666666668,1011,577,971,971,0.646814527087596,BG,2
16183.333333333334,808,609,972,972,0.7215119325916399,BG,1
16183.333333333334,1019,571,972,972,0.7663037799788776,BG,2
16200.0,798,602,973,973,0.7859914640611582,BG,1
16200.0,1026,565,973,973,0.7991743141147477,BG,2
16216.666666666664,788,594,974,974,0.5265598703836084,BG,1
16216.666666666664,1034,560,974,974,0.7167188736322383,BG,2
16233.333333333334,1041,555,975,975,0.6639006136707796,BG,2
16233.333333333334,780,590,975,975,0.7546169408165511,BG,1
16250.0,1047,550,976,976,0.7392934065824305,BG,2
16250.0,771,584,976,976,0.7810175211984731,BG,1
16266.666666666666,887,511,977,977,0.6737651190752144,BG,2
16266.666666666666,762,579,977,977,0.7590170352154523,BG,1
16283.333333333332,1061,542,978,978,0.6822824866852049,BG,2
16283.333333333332,753,574,978,978,0.7082942521440521,BG,1
16300.0,744,570,979,979,0.6803454321247149,BG,1
16300.0,897,507,979,979,0.8198545354117052,BG,2
16316.666666666666,738,567,980,980,0.5601240992546082,YOLO,1
