frame_no,A1_x,A1_y,A1_confidence,A2_x,A2_y,A2_confidence,B1_x,B1_y,B1_confidence,B2_x,B2_y,B2_confidence
1434,1084,658,0.7298400636948805,853,646,0.7401169535179237,43,525,0.8739617466926575,1726,521,0.69700688123703
1435,1071,666,0.6948268271597887,872,656,0.6689953537073591,32,530,0.8085181428902573,1739,526,0.7984272359164586
1446,997,590,0.7745507159492427,973,574,0.7655558068381184,339,511,0.75020015882688,1849,563,0.2
1447,992,584,0.6915631392403954,981,568,0.5628283619880676,339,511,0.4,1849,563,0.2
1448,989,583,0.4,990,562,0.6494362456507383,338,509,0.3,1849,563,0.2
1557,1878,454,0.7161389589309692,857,205,0.2,744,470,0.4,1092,456,0.2
1558,1889,454,0.4,857,205,0.2,782,482,0.7139564957433439,1008,481,0.7100048214555488
1559,1889,454,0.3,857,205,0.2,799,488,0.7198728073213279,989,488,0.7467694369930244
1560,1889,454,0.2,857,205,0.2,817,494,0.6910187703579639,971,494,0.7213958715031694
1561,1889,454,0.2,857,205,0.2,834,500,0.7592324496412248,953,501,0.5907233535801565
1636,1888,473,0.7345018982887268,150,479,0.7189280986785889,1039,509,0.4,823,502,0.677530440343692
1637,1813,479,0.8598098754882812,220,483,0.7439166903495789,1003,506,0.6585774570940999,851,499,0.5903806184551554
1638,1741,483,0.8544808626174927,219,483,0.4,980,503,0.6910998006543023,851,498,0.4
1639,1754,475,0.4,219,483,0.3,956,501,0.6330509446248137,851,494,0.3
1640,1754,475,0.3,219,483,0.2,931,498,0.6504563104738691,851,495,0.2
1641,1552,500,0.8374247550964355,446,500,0.6433759331703186,905,496,0.643837530104265,851,495,0.2
1642,1498,506,0.8596177101135254,497,503,0.8269669085816331,904,495,0.4,1002,490,0.6251933609043359
1643,1447,511,0.4,534,509,0.4397749602794647,849,492,0.6014135668320333,1002,489,0.4
1644,1447,511,0.3,534,508,0.4,842,489,0.4,1002,490,0.3
1645,1354,524,0.8552461862564087,534,508,0.3,814,489,0.3,1003,490,0.2
1646,1329,527,0.7677726792717166,653,523,0.5752363801002502,777,490,0.2,1002,490,0.2
1647,1268,525,0.4,687,529,0.7045960426330566,774,489,0.2,1003,490,0.2
1648,1268,525,0.3,687,528,0.4,774,489,0.2,1003,490,0.2
1649,1195,548,0.7054692506790161,687,528,0.3,774,489,0.2,1003,490,0.2
1650,1160,555,0.7335191369056702,687,528,0.2,774,489,0.2,1003,490,0.2
1651,1156,555,0.4,807,548,0.6636510491371155,774,490,0.2,1003,490,0.2
1652,1157,555,0.3,800,547,0.4,774,489,0.2,1407,497,0.4332154989242553
1653,1069,577,0.5173134803771973,791,547,0.3,774,489,0.2,1457,499,0.7271013259887695
1654,1072,573,0.4,785,547,0.2,412,498,0.5840811133384705,1508,503,0.8317015171051025
1655,1022,595,0.4856696128845215,782,547,0.2,357,501,0.7973644137382507,1563,508,0.7847017645835876
1656,999,603,0.7577773463057365,782,546,0.2,294,505,0.8475607633590698,1619,512,0.4499663710594177
1657,977,612,0.7324116276169038,783,546,0.2,233,510,0.7966560125350952,1620,505,0.4
1658,957,621,0.6156693360323962,783,546,0.2,165,515,0.8414634466171265,1740,525,0.8199535012245178
1659,937,630,0.6974940084800209,805,545,0.2,89,522,0.8582605719566345,1810,533,0.7675589919090271
1660,918,638,0.6242390195989936,805,545,0.2,21,529,0.8067598342895508,1809,533,0.4
